102.0	3.0	2.33
102.0	3.0	3.32
102.0	3.0	4.57
102.0	3.0	4.78
108.3	3.0	4.83
108.3	3.0	4.9
108.3	3.0	6.27
108.3	3.0	6.28
116.0	3.0	6.47
116.0	3.0	6.81
116.0	3.0	6.88
116.0	3.0	6.9
122.6	3.0	6.94
122.6	3.0	7.32
122.6	3.0	7.4
122.6	3.0	7.51
132.0	3.0	7.68
132.0	3.0	7.72
133.0	3.0	7.75
133.0	3.0	7.84
133.0	3.0	8.0
133.0	3.0	8.06
133.0	3.0	8.2
133.1	3.0	8.37
134.7	3.0	8.49
135.0	3.0	8.54
135.0	3.0	8.54
135.7	3.0	9.01
135.7	3.0	9.13
136.0	3.0	9.31
136.0	3.0	9.45
136.4	3.0	9.56
139.6	3.0	9.62
139.6	3.0	9.69
139.6	3.0	9.73
139.6	3.0	9.74
139.6	3.0	9.74
139.6	3.0	9.85
139.7	3.0	9.87
139.9	3.0	9.99
140.0	3.0	10.03
140.0	3.0	10.09
141.3	3.0	10.22
141.3	3.0	10.34
141.3	3.0	10.35
141.3	3.0	10.38
141.9	3.0	10.39
142.0	3.0	10.54
143.0	3.0	10.54
143.0	3.0	10.73
143.6	3.0	10.76
143.7	3.0	10.79
143.8	3.0	11.17
144.0	3.0	11.36
144.0	3.0	11.39
144.0	3.0	11.41
144.0	3.0	11.47
144.8	3.0	11.47
145.0	3.0	11.48
145.0	3.0	11.58
145.0	3.0	11.65
145.4	3.0	11.85
145.7	3.0	11.96
145.9	3.0	11.98
146.0	3.0	12.05
146.0	3.0	12.18
146.5	3.0	12.18
147.0	3.0	12.18
147.8	3.0	12.25
148.0	3.0	12.37
148.0	3.0	12.45
148.0	3.0	12.46
148.1	3.0	12.46
148.1	3.0	12.47
148.5	3.0	12.54
149.0	3.0	12.55
149.0	3.0	12.64
149.0	3.0	12.73
149.0	3.0	12.79
149.0	3.0	12.84
149.5	3.0	13.09
150.0	3.0	13.12
150.0	3.0	13.18
150.7	3.0	13.2
150.9	3.0	13.2
151.0	3.0	13.22
151.0	3.0	13.29
151.6	3.0	13.29
151.8	3.0	13.33
152.0	3.0	13.36
152.0	3.0	13.4
152.6	3.0	13.46
152.7	3.0	13.46
153.0	3.0	13.52
153.0	3.0	13.52
153.0	3.0	13.54
153.0	3.0	13.57
153.0	3.0	13.62
153.0	3.0	13.66
153.0	3.0	13.71
153.0	3.0	13.82
153.1	3.0	14.14
153.1	3.0	14.2
153.6	3.0	14.2
154.0	3.0	14.31
154.0	3.0	14.4
154.8	3.0	14.5
154.8	3.0	14.54
154.8	3.0	14.59
154.8	3.0	14.6
155.0	3.0	14.64
155.0	3.0	14.7
155.0	3.0	14.8
155.0	3.0	14.84
155.0	3.0	14.94
155.2	3.0	14.99
155.6	3.0	14.99
156.0	3.0	15.03
156.0	3.0	15.04
157.0	3.0	15.05
157.0	3.0	15.07
157.0	3.0	15.09
157.0	3.0	15.09
157.0	3.0	15.34
158.0	3.0	15.34
158.4	3.0	15.36
158.6	3.0	15.42
158.8	3.0	15.42
158.8	3.0	15.44
159.0	3.0	15.52
159.0	3.0	15.52
159.0	3.0	15.53
159.1	3.0	15.57
159.8	3.0	15.57
160.0	7.0	15.58
160.0	7.0	15.61
160.0	7.0	15.62
160.2	7.0	15.69
162.0	7.0	15.75
162.0	7.0	15.82
162.0	7.0	15.87
